CODIGO GESTOR;Gestão do Recurso;DESCRIÇÃO DO GESTOR;VALOR;março;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro;% TOTAL;SQ (CODIGO Interno;UF;STATUS
292300;MUNICIPAL;NOVA VICOSA;108.516,28;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30063;BAHIA;NAO_APROVADO
292340;MUNICIPAL;PALMAS DE MONTE ALTO;53.656,23;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30064;BAHIA;NAO_APROVADO
292450;MUNICIPAL;PINDAI;40.065,28;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30065;BAHIA;NAO_APROVADO
292460;MUNICIPAL;PINDOBACU;49.253,66;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30066;BAHIA;NAO_APROVADO
292500;MUNICIPAL;PLANALTO;65.303,85;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30067;BAHIA;NAO_APROVADO
292520;MUNICIPAL;POJUCA;99.256,65;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30068;BAHIA;NAO_APROVADO
292525;MUNICIPAL;PONTO NOVO;36.186,01;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30069;BAHIA;NAO_APROVADO
292530;MUNICIPAL;PORTO SEGURO;374.731,25;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30070;BAHIA;NAO_APROVADO
292580;MUNICIPAL;QUEIMADAS;62.471,18;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30071;BAHIA;NAO_APROVADO
292600;MUNICIPAL;REMANSO;101.524,26;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30072;BAHIA;NAO_APROVADO
292610;MUNICIPAL;RETIROLANDIA;35.839,61;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30073;BAHIA;NAO_APROVADO
292800;MUNICIPAL;SANTALUZ;92.630,69;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30074;BAHIA;NAO_APROVADO
292810;MUNICIPAL;SANTA MARIA DA VITORIA;97.551,64;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30075;BAHIA;NAO_APROVADO
292820;MUNICIPAL;SANTANA;65.822,23;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30076;BAHIA;NAO_APROVADO
292850;MUNICIPAL;SANTA TERESINHA;25.845,40;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30077;BAHIA;NAO_APROVADO
292860;MUNICIPAL;SANTO AMARO;147.874,00;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30078;BAHIA;NAO_APROVADO
292890;MUNICIPAL;SAO DESIDERIO;85.407,74;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30079;BAHIA;NAO_APROVADO
292905;MUNICIPAL;SAO FELIX DO CORIBE;38.185,84;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30080;BAHIA;NAO_APROVADO
292920;MUNICIPAL;SAO FRANCISCO DO CONDE;99.902,78;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30081;BAHIA;NAO_APROVADO
292960;MUNICIPAL;SAPEACU;42.799,68;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30082;BAHIA;NAO_APROVADO
293010;MUNICIPAL;SENHOR DO BONFIM;196.083,53;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30083;BAHIA;NAO_APROVADO
293015;MUNICIPAL;SERRA DO RAMALHO;77.049,75;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30084;BAHIA;NAO_APROVADO
293030;MUNICIPAL;SERRA DOURADA;42.406,60;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30085;BAHIA;NAO_APROVADO
293050;MUNICIPAL;SERRINHA;200.702,29;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30086;BAHIA;NAO_APROVADO
293070;MUNICIPAL;SIMOES FILHO;336.867,25;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30087;BAHIA;NAO_APROVADO
293077;MUNICIPAL;SOBRADINHO;57.179,26;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30088;BAHIA;NAO_APROVADO
293135;MUNICIPAL;TEIXEIRA DE FREITAS;403.625,52;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30089;BAHIA;NAO_APROVADO
293190;MUNICIPAL;TUCANO;125.057,82;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30090;BAHIA;NAO_APROVADO
293260;MUNICIPAL;URANDI;40.959,55;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30091;BAHIA;NAO_APROVADO
293360;MUNICIPAL;XIQUE-XIQUE;114.392,91;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;30092;BAHIA;NAO_APROVADO
170000;ESTADUAL;Tocantins;4.521.041,04;0%;33%;8%;9%;9%;9%;8%;8%;8%;8%;100%;30001;TOCANTINS;NAO_APROVADO
