CÓDIGO DO PROCEDIMENTO NO SIGTAP;PROCEDIMENTO CIRÚRGICO;QUANTIDADE DE SOLICITAÇÕES NA FILA ATÉ DIA 31/12/22;Redução do Tamanho da Fila (%);Prazo para reduzir o % proposto (em meses);Qtde de cirurgias a serem feitas no prazo pactuado;SQ (CODIGO Interno;UF;STATUS
404010229;MASTOIDECTOMIA SUBTOTAL;7;0.0;;0;100019;ACRE;APROVADO
404010318;RETIRADA DE CORPO ESTRANHO DE OUVIDO / FARINGE / LARINGE / NARIZ;3;0.0;;0;100020;ACRE;APROVADO
404010350;TIMPANOPLASTIA (UNI / BILATERAL);28;0.0;;0;100021;ACRE;APROVADO
404010466;PAROTIDECTOMIA PARCIAL OU SUBTOTAL;11;1.0;9;11;100022;ACRE;APROVADO
404010482;SEPTOPLASTIA PARA CORREÇÃO DE DESVIO;100;0.0;;0;100023;ACRE;APROVADO
404020038;CORREÇÃO CIRÚRGICA DE FÍSTULA ORO-NASAL / ORO-SINUSAL;46;0.0;;0;100024;ACRE;APROVADO
404020240;RECONSTRUÇÃO TOTAL OU PARCIAL DE NARIZ;3;0.0;;0;100025;ACRE;APROVADO
404020640;TRATAMENTO CIRÚRGICO DE ANQUILOSE DA ARTICULAÇÃO TÊMPORO-MANDIBULAR;29;0.0;;0;100026;ACRE;APROVADO
404020771;RESSECÇÃO DE LESÃO DA BOCA;2;0.0;;0;100027;ACRE;APROVADO
404030084;ALVEOLOPLASTIA COM ENXERTO ÓSSEO EM PACIENTE COM ANOMALIA CRÂNIOFACIAL;11;0.0;;0;100028;ACRE;APROVADO
405010010;CORRECAO CIRURGICA DE ENTROPIO E ECTROPIO;2;0.0;;0;100029;ACRE;APROVADO
405010087;EXTIRPACAO DE GLANDULA LACRIMAL;1;0.0;;0;100030;ACRE;APROVADO
405010133;RECONSTITUICAO TOTAL DE PALPEBRA;8;0.0;;0;100031;ACRE;APROVADO
405040202;TRATAMENTO DE PTOSE PALPEBRAL;33;0.0;;0;100032;ACRE;APROVADO
406010030;ABERTURA DE ESTENOSE PULMONAR VALVAR;1;0.0;;0;100033;ACRE;APROVADO
406010137;CORREÇÃO DE ANEURISMA / DISSECÇÃO DA AORTA TORACO-ABDOMINAL;6;0.0;;0;100034;ACRE;APROVADO
406010188;CORREÇÃO DE COARCTAÇÃO DA AORTA;3;0.0;;0;100035;ACRE;APROVADO
406010498;CORREÇÃO DO CANAL ÁTRIO-VENTRICULAR (TOTAL);1;0.0;;0;100036;ACRE;APROVADO
406010528;EXERESE DE CISTO PERICÁRDICO;1;0.0;;0;100037;ACRE;APROVADO
406010536;FECHAMENTO DE COMUNICAÇÃO INTERATRIAL;7;0.0;;0;100038;ACRE;APROVADO
406010544;FECHAMENTO DE COMUNICAÇÃO INTERVENTRICULAR;6;0.0;;0;100039;ACRE;APROVADO
406010811;PLÁSTICA VALVAR C/ REVASCULARIZAÇÃO MIOCÁRDICA;46;0.0;;0;100040;ACRE;APROVADO
406010820;PLÁSTICA VALVAR E/OU TROCA VALVAR MÚLTIPLA;87;0.0;;0;100041;ACRE;APROVADO
406011427;CORRECAO DE PERSISTENCIA DO CANAL ARTERIAL (CRIANÇA E ADOLESCENTE);4;0.0;;0;100042;ACRE;APROVADO
406020078;IMPLANTAÇÃO DE CATETER DE LONGA PERMANÊNCIA SEMI OU TOTALMENTE IMPLANTAVEL (PROCEDIMENTO PRINCIPAL);4;0.4;9;2;100043;ACRE;APROVADO
406020566;TRATAMENTO CIRURGICO DE VARIZES (BILATERAL);376;0.0;;0;100044;ACRE;APROVADO
406020574;TRATAMENTO CIRÚRGICO DE VARIZES (UNILATERAL);73;0.0;;0;100045;ACRE;APROVADO
406030022;ANGIOPLASTIA CORONARIANA C/ IMPLANTE DE DOIS STENTS;1;0.0;;0;100046;ACRE;APROVADO
406030030;ANGIOPLASTIA CORONARIANA COM IMPLANTE DE STENT;7;0.0;;0;100047;ACRE;APROVADO
407010181;GASTROPLASTIA VERTICAL COM BANDA;139;0.0;;0;100048;ACRE;APROVADO
407010297;TRATAMENTO CIRURGICO DE REFLUXO GASTROESOFAGICO;3;0.0;;0;100049;ACRE;APROVADO
407020225;EXCISAO DE LESAO / TUMOR ANU-RETAL;2;0.0;;0;100050;ACRE;APROVADO
407020241;FECHAMENTO DE ENTEROSTOMIA (QUALQUER SEGMENTO);12;0.0;;0;100051;ACRE;APROVADO
407020276;FISTULECTOMIA / FISTULOTOMIA ANAL;48;0.0;;0;100052;ACRE;APROVADO
407020284;HEMORROIDECTOMIA;440;0.8;9;352;100053;ACRE;APROVADO
407030026;COLECISTECTOMIA;776;0.8;9;621;100054;ACRE;APROVADO
407030034;COLECISTECTOMIA VIDEOLAPAROSCOPICA;160;0.0;;0;100055;ACRE;APROVADO
407030123;ESPLENECTOMIA;25;0.0;;0;100056;ACRE;APROVADO
407030131;HEPATECTOMIA PARCIAL;8;0.0;;0;100057;ACRE;APROVADO
407040064;HERNIOPLASTIA EPIGASTRICA;45;1.0;9;45;100058;ACRE;APROVADO
407040080;HERNIOPLASTIA INCISIONAL;139;0.5;9;70;100059;ACRE;APROVADO
407040099;HERNIOPLASTIA INGUINAL (BILATERAL);74;1.0;9;74;100060;ACRE;APROVADO
407040102;HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL);299;1.0;9;299;100061;ACRE;APROVADO
407040129;HERNIOPLASTIA UMBILICAL;214;0.9;9;193;100062;ACRE;APROVADO
407040161;LAPAROTOMIA EXPLORADORA;91;0.0;;0;100063;ACRE;APROVADO
407040170;LAPAROTOMIA VIDEOLAPAROSCOPICA PARA DRENAGEM E/OU BIOPSIA;18;0.0;;0;100064;ACRE;APROVADO
407040226;REPARACAO DE OUTRAS HERNIAS;32;0.0;;0;100065;ACRE;APROVADO
408010142;REPARO DE ROTURA DO MANGUITO ROTADOR (INCLUI PROCEDIMENTOS DESCOMPRESSIVOS);48;0.0;;0;100066;ACRE;APROVADO
408010185;TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ACROMIO-CLAVICULAR;41;0.0;;0;100067;ACRE;APROVADO
408010193;TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ESCAPULO-UMERAL AGUDA;9;0.0;;0;100068;ACRE;APROVADO
408010223;TRATAMENTO CIRURGICO DE RETARDO DE CONSOLIDACAO DA PSEUDARTROSE DE CLAVICULA / ESCAPULA;9;0.0;;0;100069;ACRE;APROVADO
408010231;TRATAMENTO CIRÚRGICO DA SÍNDROME DO IMPACTO SUB-ACROMIAL;1;0.0;;0;100070;ACRE;APROVADO
408020148;RECONSTRUÇÃO DE POLIA TENDINOSA DOS DEDOS DA MÃO;1;0.0;;0;100071;ACRE;APROVADO
408020598;TRATAMENTO CIRÚRGICO DE PSEUDARTROSE NA REGIÃO METAFISE-EPIFISÁRIA DISTAL DO RÁDIO E ULNA;6;0.0;;0;100072;ACRE;APROVADO
408040041;ARTROPLASTIA DE QUADRIL (NÃO CONVENCIONAL);16;0.0;;0;100073;ACRE;APROVADO
408050039;ARTRODESE DE MEDIAS / GRANDES ARTICULACOES DE MEMBRO INFERIOR;1;0.0;;0;100074;ACRE;APROVADO
408050063;ARTROPLASTIA TOTAL PRIMARIA DO JOELHO;145;0.0;;0;100075;ACRE;APROVADO
408050160;RECONSTRUCAO LIGAMENTAR INTRA-ARTICULAR DO JOELHO (CRUZADO ANTERIOR);356;0.0;;0;100076;ACRE;APROVADO
408050179;RECONSTRUCAO LIGAMENTAR INTRA-ARTICULAR DO JOELHO (CRUZADO POSTERIOR C/ OU S/ ANTERIOR);14;0.0;;0;100077;ACRE;APROVADO
408050349;REVISAO CIRURGICA DO PE TORTO CONGENITO;8;0.0;;0;100078;ACRE;APROVADO
408050659;TRATAMENTO CIRÚRGICO DE HALUX VALGUS C/ OSTEOTOMIA DO PRIMEIRO OSSO METATARSIANO;6;0.0;;0;100079;ACRE;APROVADO
408050764;TRATAMENTO CIRÚRGICO DE PÉ TORTO CONGÊNITO;3;0.0;;0;100080;ACRE;APROVADO
408050845;TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO AO NÍVEL DO JOELHO;1;0.0;;0;100081;ACRE;APROVADO
408050896;TRATAMENTO CIRÚRGICO DE ROTURA DO MENISCO COM MENISCECTOMIA PARCIAL / TOTAL;100;0.0;;0;100082;ACRE;APROVADO
408060018;ALONGAMENTO / ENCURTAMENTO MIOTENDINOSO;1;0.0;;0;100083;ACRE;APROVADO
408060026;ALONGAMENTO E/OU TRANSPORTE DE OSSOS DA MÃO E/OU DO PÉ;17;0.0;;0;100084;ACRE;APROVADO
408060034;ALONGAMENTO E/OU TRANSPORTE ÓSSEO DE OSSOS LONGOS (EXCETO DA MÃO E DO PÉ);5;0.0;;0;100085;ACRE;APROVADO
408060050;ARTRODESE DE PEQUENAS ARTICULAÇÕES;8;0.0;;0;100086;ACRE;APROVADO
408060140;FASCIECTOMIA;5;0.0;;0;100087;ACRE;APROVADO
408060182;OSTEOTOMIA DE OSSOS DA MÃO E/OU DO PÉ;15;0.0;;0;100088;ACRE;APROVADO
408060212;RESSECÇÃO DE CISTO SINOVIAL;5;0.0;;0;100089;ACRE;APROVADO
408060344;RETIRADA DE ESPAÇADORES / OUTROS MATERIAIS;12;0.0;;0;100090;ACRE;APROVADO
408060352;RETIRADA DE FIO OU PINO INTRA-ÓSSEO;48;0.0;;0;100091;ACRE;APROVADO
408060360;RETIRADA DE FIXADOR EXTERNO;3;0.0;;0;100092;ACRE;APROVADO
408060379;RETIRADA DE PLACA E/OU PARAFUSOS;29;0.0;;0;100093;ACRE;APROVADO
408060433;TENODESE;1;0.0;;0;100094;ACRE;APROVADO
408060662;TRATAMENTO CIRÚRGICO DE POLIDACTILIA ARTICULADA;5;0.0;;0;100095;ACRE;APROVADO
409010065;CISTOLITOTOMIA E/OU RETIRADA DE CORPO ESTRANHO DA BEXIGA;39;1.0;9;39;100096;ACRE;APROVADO
409010170;INSTALACAO ENDOSCOPICA DE CATETER DUPLO J;21;0.0;;0;100097;ACRE;APROVADO
409010200;NEFRECTOMIA PARCIAL;24;0.5;9;12;100098;ACRE;APROVADO
409010235;NEFROLITOTOMIA PERCUTANEA;84;1.0;9;84;100099;ACRE;APROVADO
409010324;PIELOPLASTIA;9;1.0;9;9;100100;ACRE;APROVADO
409010367;RESSECCAO DO COLO VESICAL / TUMOR VESICAL A CEU ABERTO;31;0.5;9;16;100101;ACRE;APROVADO
409010510;TRATAMENTO CIRURGICO DE URETEROCELE;4;0.0;;0;100102;ACRE;APROVADO
409010570;URETEROPLASTIA;2;1.0;9;2;100103;ACRE;APROVADO
409010596;URETEROLITOTRIPSIA TRANSURETEROSCÓPICA;128;1.0;9;128;100104;ACRE;APROVADO
409020095;RESSECCAO DE PROLAPSO DA MUCOSA DA URETRA;2;0.0;;0;100105;ACRE;APROVADO
409020176;URETROTOMIA INTERNA;14;0.5;9;7;100106;ACRE;APROVADO
409030023;PROSTATECTOMIA SUPRAPÚBICA;11;1.0;9;11;100107;ACRE;APROVADO
409030040;RESSECCAO ENDOSCOPICA DE PROSTATA;94;0.4;9;38;100108;ACRE;APROVADO
409040070;EXERESE DE CISTO DE EPIDIDIMO;17;0.0;;0;100109;ACRE;APROVADO
409040126;ORQUIDOPEXIA BILATERAL;35;0.0;;0;100110;ACRE;APROVADO
409040134;ORQUIDOPEXIA UNILATERAL;22;0.0;;0;100111;ACRE;APROVADO
409040142;ORQUIECTOMIA SUBCAPSULAR BILATERAL;9;0.0;;0;100112;ACRE;APROVADO
409040169;ORQUIECTOMIA UNILATERAL;2;0.0;;0;100113;ACRE;APROVADO
409040215;TRATAMENTO CIRURGICO DE HIDROCELE;29;0.0;;0;100114;ACRE;APROVADO
409040231;TRATAMENTO CIRURGICO DE VARICOCELE;20;0.0;;0;100115;ACRE;APROVADO
409050083;POSTECTOMIA;138;0.0;;0;100116;ACRE;APROVADO
409060046;CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO;103;0.0;;0;100117;ACRE;APROVADO
409060100;HISTERECTOMIA (POR VIA VAGINAL);206;0.5;9;103;100118;ACRE;APROVADO
409060135;HISTERECTOMIA TOTAL;500;0.9;9;450;100119;ACRE;APROVADO
409060143;HISTERECTOMIA TOTAL AMPLIADA (WERTHEIN-MEIGS);1;0.0;;0;100120;ACRE;APROVADO
409060186;LAQUEADURA TUBARIA;330;1.0;9;330;100121;ACRE;APROVADO
409060194;MIOMECTOMIA;32;0.0;;0;100122;ACRE;APROVADO
409060216;OOFORECTOMIA / OOFOROPLASTIA;8;0.0;;0;100123;ACRE;APROVADO
409070033;COLPOCLEISE (CIRURGIA DE LE FORT);34;0.0;;0;100124;ACRE;APROVADO
409070050;COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR;131;0.0;;0;100125;ACRE;APROVADO
409070068;COLPOPERINEOPLASTIA POSTERIOR;5;0.0;;0;100126;ACRE;APROVADO
409070084;COLPOPLASTIA ANTERIOR;19;0.0;;0;100127;ACRE;APROVADO
409070149;EXERESE DE CISTO VAGINAL;8;0.0;;0;100128;ACRE;APROVADO
409070157;EXERESE DE GLANDULA DE BARTHOLIN / SKENE;6;0.0;;0;100129;ACRE;APROVADO
409070190;MARSUPIALIZACAO DE GLANDULA DE BARTOLIN;1;0.0;;0;100130;ACRE;APROVADO
409070254;TRATAMENTO CIRURGICO DE FISTULA VESICO-VAGINAL;2;0.0;;0;100131;ACRE;APROVADO
409070262;TRATAMENTO CIRURGICO DE HIPERTROFIA DOS PEQUENOS LABIOS;1;0.0;;0;100132;ACRE;APROVADO
409070270;TRATAMENTO CIRURGICO DE INCONTINENCIA URINARIA POR VIA VAGINAL;67;0.5;9;34;100133;ACRE;APROVADO
410010073;PLASTICA MAMARIA FEMININA NAO ESTETICA;290;0.5;9;145;100134;ACRE;APROVADO
410010081;PLASTICA MAMARIA MASCULINA;33;0.0;;0;100135;ACRE;APROVADO
410010090;PLASTICA MAMARIA RECONSTRUTIVA - POS MASTECTOMIA C/ IMPLANTE DE PROTESE;11;0.0;;0;100136;ACRE;APROVADO
410010111;SETORECTOMIA / QUADRANTECTOMIA;2;0.0;;0;100137;ACRE;APROVADO
412020017;MEDIASTINOTOMIA EXPLORADORA PARA-ESTERNAL / POR VIA ANTERIOR;1;0.0;;0;100138;ACRE;APROVADO
412020050;RESSECÇÃO DE TUMOR DO MEDIASTINO;2;0.0;;0;100139;ACRE;APROVADO
412040131;TORACECTOMIA SEM RECONSTRUÇÃO PARIETAL;17;0.0;;0;100140;ACRE;APROVADO
412050048;LOBECTOMIA PULMONAR;12;0.0;;0;100141;ACRE;APROVADO
413040020;CORREÇÃO DE RETRAÇÃO CICATRICIAL VÁRIOS ESTÁGIOS;7;0.0;;0;100142;ACRE;APROVADO
413040046;DERMOLIPECTOMIA ABDOMINAL NAO ESTETICA (PLASTICA ABDOMINAL);36;0.0;;0;100143;ACRE;APROVADO
413040054;DERMOLIPECTOMIA ABDOMINAL POS-CIRURGIA BARIATRICA;21;0.0;;0;100144;ACRE;APROVADO
413040097;PREPARO DE RETALHO;33;0.0;;0;100145;ACRE;APROVADO
413040119;RECONSTRUCAO DE LOBULO DA ORELHA;29;0.0;;0;100146;ACRE;APROVADO
413040216;TRATAMENTO CIRÚRGICO DE RETRAÇÃO CICATRICIAL EM UM ESTÁGIO;3;0.0;;0;100147;ACRE;APROVADO
413040232;TRATAMENTO CIRURGICO NAO ESTETICO DA ORELHA;15;0.0;;0;100148;ACRE;APROVADO
416010121;PROSTATECTOMIA EM ONCOLOGIA;6;0.0;;0;100149;ACRE;APROVADO
416030068;GLOSSECTOMIA PARCIAL EM ONCOLOGIA;4;0.0;;0;100150;ACRE;APROVADO
416030173;MAXILECTOMIA PARCIAL EM ONCOLOGIA;9;0.0;;0;100151;ACRE;APROVADO
416030300;MANDIBULECTOMIA PARCIAL EM ONCOLOGIA;9;0.0;;0;100152;ACRE;APROVADO
416030319;MANDIBULECTOMIA TOTAL EM ONCOLOGIA;2;0.0;;0;100153;ACRE;APROVADO
416040071;GASTRECTOMIA TOTAL EM ONCOLOGIA;4;0.0;;0;100154;ACRE;APROVADO
416050077;RETOSSIGMOIDECTOMIA ABDOMINAL EM ONCOLOGIA;1;0.0;;0;100155;ACRE;APROVADO
416060064;HISTERECTOMIA TOTAL AMPLIADA EM ONCOLOGIA;16;0.0;;0;100156;ACRE;APROVADO
416090133;RESSECÇÃO DE TUMOR DE PARTES MOLES EM ONCOLOGIA;70;0.0;;0;100157;ACRE;APROVADO
416120032;MASTECTOMIA SIMPLES EM ONCOLOGIA;8;0.0;;0;100158;ACRE;APROVADO
407030026;COLECISTECTOMIA;2124;0.5;7 meses;1062;100001;ALAGOAS;APROVADO
407030034;COLECISTECTOMIA VIDEOLAPAROSCOPICA;7;1.0;1 mês;7;100002;ALAGOAS;APROVADO
405050119;FACOEMULSIFICACAO C/ IMPLANTE DE LENTE INTRA-OCULAR RIGIDA;776;1.0;6 meses;776;100003;ALAGOAS;APROVADO
405050372;FACOEMULSIFICACAO C/ IMPLANTE DE LENTE INTRA-OCULAR DOBRAVEL;1693;1.0;6 meses;1693;100004;ALAGOAS;APROVADO
407010211;GASTROSTOMIA;22;1.0;1 mês;22;100005;ALAGOAS;APROVADO
407040099;HERNIOPLASTIA INGUINAL (BILATERAL);1144;1.0;7 meses;1144;100006;ALAGOAS;APROVADO
409060194;MIOMECTOMIA;554;1.0;7 meses;554;100007;ALAGOAS;APROVADO
407040129;HERNIOPLASTIA UMBILICAL;905;0.65;7 meses;589;100008;ALAGOAS;APROVADO
409060135;HISTERECTOMIA TOTAL;800;1.0;7 meses;800;100009;ALAGOAS;APROVADO
409070068;COLPOPERINEOPLASTIA POSTERIOR;726;1.0;7 meses;726;100010;ALAGOAS;APROVADO
409060119;HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL);76;1.0;4 meses;76;100011;ALAGOAS;APROVADO
409050083;POSTECTOMIA;481;0.65;4 meses;313;100012;ALAGOAS;APROVADO
408060212;RESSECÇÃO DE CISTO SINOVIAL;61;1.0;4 meses;61;100013;ALAGOAS;APROVADO
408050667;TRATAMENTO CIRÚRGICO DE LESÃO AGUDA CAPSULO-LIGAMENTAR MEMBRO INFERIOR (JOELHO / TORNOZELO);49;0.0;sem oferta;0;100014;ALAGOAS;APROVADO
407040080;HERNIOPLASTIA INCISIONAL;564;1.0;6 meses;564;100015;ALAGOAS;APROVADO
407040064;HERNIOPLASTIA EPIGASTRICA;420;1.0;6 meses;420;100016;ALAGOAS;APROVADO
409060216;OOFORECTOMIA / OOFOROPLASTIA;430;1.0;6 meses;430;100017;ALAGOAS;APROVADO
408060310;RESSECÇÃO SIMPLES DE TUMOR ÓSSEO / DE PARTES MOLES;65;0.0;sem oferta;0;100018;ALAGOAS;APROVADO
408010045;ARTROPLASTIA ESCAPULO-UMERAL PARCIAL;13;0.0;sem oferta;0;100019;ALAGOAS;APROVADO
409040231;TRATAMENTO CIRURGICO DE VARICOCELE;13;1.0;2 meses;13;100020;ALAGOAS;APROVADO
407040137;HERNIORRAFIA INGUINAL VIDEOLAPAROSCOPICA;10;1.0;2 meses;10;100021;ALAGOAS;APROVADO
408020148;RECONSTRUÇÃO DE POLIA TENDINOSA DOS DEDOS DA MÃO;9;0.0;sem oferta;0;100022;ALAGOAS;APROVADO
409010413;TRATAMENTO CIRURGICO DE BEXIGA NEUROGENICA;8;0.0;sem oferta;0;100023;ALAGOAS;APROVADO
407040153;HERNIORRAFIA UMBILICAL VIDEOLAPAROSCOPICA;7;0.0;sem oferta;0;100024;ALAGOAS;APROVADO
410010073;PLASTICA MAMARIA FEMININA NAO ESTETICA;71;0.0;sem oferta;0;100025;ALAGOAS;APROVADO
403020123;TRATAMENTO CIRURGICO DE SINDROME COMPRESSIVA EM TUNEL OSTEO-FIBROSO AO NIVEL DO CARPO;302;1.0;6 meses;302;100026;ALAGOAS;APROVADO
406020574;TRATAMENTO CIRÚRGICO DE VARIZES (UNILATERAL);920;0.5;7 meses;460;100027;ALAGOAS;APROVADO
401020100;EXTIRPACAO E SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO;546;0.0;sem oferta;0;100028;ALAGOAS;APROVADO
409030023;PROSTATECTOMIA SUPRAPÚBICA;82;1.0;4 meses;82;100029;ALAGOAS;APROVADO
406020566;TRATAMENTO CIRURGICO DE VARIZES (BILATERAL);230;0.5;7 meses;115;100030;ALAGOAS;APROVADO
404010032;AMIGDALECTOMIA C/ ADENOIDECTOMIA;214;1.0;7 meses;214;100031;ALAGOAS;APROVADO
409010065;CISTOLITOTOMIA E/OU RETIRADA DE CORPO ESTRANHO DA BEXIGA;25;0.0;sem oferta;0;100032;ALAGOAS;APROVADO
409010090;CISTOSTOMIA;21;1.0;2 meses;21;100033;ALAGOAS;APROVADO
401020045;EXCISAO E ENXERTO DE PELE (HEMANGIOMA, NEVUS OU TUMOR );59;1.0;7 meses;59;100034;ALAGOAS;APROVADO
409070157;EXERESE DE GLANDULA DE BARTHOLIN / SKENE;16;1.0;2 meses;16;100035;ALAGOAS;APROVADO
405050097;FACECTOMIA C/ IMPLANTE DE LENTE INTRA-OCULAR;835;0.0;sem oferta;0;100036;ALAGOAS;APROVADO
407020268;FECHAMENTO DE FISTULA DE RETO;120;1.0;7 meses;120;100037;ALAGOAS;APROVADO
407020284;HEMORROIDECTOMIA;622;0.6;7 meses;374;100038;ALAGOAS;APROVADO
409010170;INSTALACAO ENDOSCOPICA DE CATETER DUPLO J;175;0.0;sem oferta;0;100039;ALAGOAS;APROVADO
409060186;LAQUEADURA TUBARIA;368;0.6;7 meses;221;100040;ALAGOAS;APROVADO
409010219;NEFRECTOMIA TOTAL;84;0.0;sem oferta;0;100041;ALAGOAS;APROVADO
405050224;RECONSTITUICAO DE FORNIX CONJUNTIVAL;20;0.0;sem oferta;0;100042;ALAGOAS;APROVADO
404020771;RESSECÇÃO DE LESÃO DA BOCA;26;0.0;sem oferta;0;100043;ALAGOAS;APROVADO
408060352;RETIRADA DE FIO OU PINO INTRA-ÓSSEO;22;0.0;sem oferta;0;100044;ALAGOAS;APROVADO
408060379;RETIRADA DE PLACA E/OU PARAFUSOS;59;0.0;sem oferta;0;100045;ALAGOAS;APROVADO
409060232;SALPINGECTOMIA UNI / BILATERAL;29;1.0;2 meses;29;100046;ALAGOAS;APROVADO
410010111;SETORECTOMIA / QUADRANTECTOMIA;32;1.0;2 meses;32;100047;ALAGOAS;APROVADO
402010043;TIREOIDECTOMIA TOTAL;320;0.8;7 meses;256;100048;ALAGOAS;APROVADO
402010035;TIREOIDECTOMIA PARCIAL;5;1.0;7 meses;5;100049;ALAGOAS;APROVADO
402010027;PARATIREOIDECTOMIA;5;1.0;7 meses;5;100050;ALAGOAS;APROVADO
409010430;TRATAMENTO CIRURGICO DE CISTOCELE;163;0.0;sem oferta;0;100051;ALAGOAS;APROVADO
409010499;TRATAMENTO CIRURGICO DE INCONTINENCIA URINARIA VIA ABDOMINAL;28;0.0;sem oferta;0;100052;ALAGOAS;APROVADO
408010185;TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ACROMIO-CLAVICULAR;67;1.0;7 meses;67;100053;ALAGOAS;APROVADO
404020658;TRATAMENTO CIRÚRGICO DE OSTEOMA, ODONTOMA /OUTRAS LESÕES ESPECIFICADAS;37;0.0;sem oferta;0;100054;ALAGOAS;APROVADO
409020176;URETROTOMIA INTERNA;28;1.0;3 meses;28;100055;ALAGOAS;APROVADO
409040240;VASECTOMIA;62;1.0;7 meses;62;100056;ALAGOAS;APROVADO
405030177;VITRECTOMIA POSTERIOR COM INFUSÃO DE PERFLUOCARBONO/ÓLEO DE SILICONE/ENDOLASER;17;0.0;sem oferta;0;100057;ALAGOAS;APROVADO
405030142;VITRECTOMIA POSTERIOR;8;1.0;2 meses;8;100058;ALAGOAS;APROVADO
405030134;VITRECTOMIA ANTERIOR;8;1.0;2 meses;8;100059;ALAGOAS;APROVADO
416060013;AMPUTAÇÃO CÔNICA DE COLO DE ÚTERO COM COLPECTOMIA EM ONCOLOGIA;87;0.0;sem oferta;0;100060;ALAGOAS;APROVADO
406030022;ANGIOPLASTIA CORONARIANA C/ IMPLANTE DE DOIS STENTS;146;0.0;sem oferta;0;100061;ALAGOAS;APROVADO
406030030;ANGIOPLASTIA CORONARIANA COM IMPLANTE DE STENT;200;0.0;sem oferta;0;100062;ALAGOAS;APROVADO
406040052;ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (SEM STENT);72;0.0;sem oferta;0;100063;ALAGOAS;APROVADO
408040050;ARTROPLASTIA PARCIAL DE QUADRIL;30;0.0;sem oferta;0;100064;ALAGOAS;APROVADO
408040041;ARTROPLASTIA DE QUADRIL (NÃO CONVENCIONAL);31;1.0;2 meses;31;100065;ALAGOAS;APROVADO
404010016;ADENOIDECTOMIA;15;1.0;2 meses;15;100066;ALAGOAS;APROVADO
409070050;COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR;10;1.0;2 meses;10;100067;ALAGOAS;APROVADO
409070084;COLPOPLASTIA ANTERIOR;10;1.0;2 meses;10;100068;ALAGOAS;APROVADO
407040102;HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL);5;1.0;2 meses;5;100069;ALAGOAS;APROVADO
